18 Mar 2020 12:15:47,322 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 27205, Time : 37, Current connections count : 1
18 Mar 2020 12:15:47,407 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,492 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,528 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,618 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,629 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,658 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,667 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,672 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,675 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,680 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,684 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,800 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,818 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,826 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,842 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,844 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 1
